date,id,country,status
16/02/2020,533,Aruba,Fully open,
16/02/2020,004,Afghanistan,Fully open,
16/02/2020,024,Angola,Fully open,
16/02/2020,660,Anguilla,Fully open,
16/02/2020,008,Albania,Fully open,
16/02/2020,020,Andorra,Fully open,
16/02/2020,784,United Arab Emirates,Fully open,
16/02/2020,032,Argentina,Fully open,
16/02/2020,051,Armenia,Fully open,
16/02/2020,028,Antigua and Barbuda,Fully open,
16/02/2020,036,Australia,Fully open,
16/02/2020,040,Austria,Fully open,
16/02/2020,031,Azerbaijan,Fully open,
16/02/2020,108,Burundi,Fully open,
16/02/2020,056,Belgium,Fully open,
16/02/2020,204,Benin,Fully open,
16/02/2020,854,Burkina Faso,Fully open,
16/02/2020,050,Bangladesh,Fully open,
16/02/2020,100,Bulgaria,Fully open,
16/02/2020,048,Bahrain,Fully open,
16/02/2020,044,Bahamas,Fully open,
16/02/2020,070,Bosnia and Herzegovina,Fully open,
16/02/2020,112,Belarus,Fully open,
16/02/2020,084,Belize,Fully open,
16/02/2020,060,Bermuda,Fully open,
16/02/2020,068,Bolivia (Plurinational State of),Fully open,
16/02/2020,076,Brazil,Fully open,
16/02/2020,052,Barbados,Fully open,
16/02/2020,096,Brunei Darussalam,Fully open,
16/02/2020,064,Bhutan,Fully open,
16/02/2020,072,Botswana,Fully open,
16/02/2020,140,Central African republic,Fully open,
16/02/2020,124,Canada,Fully open,
16/02/2020,756,Switzerland,Fully open,
16/02/2020,152,Chile,Fully open,
16/02/2020,156,China,Partially open,
16/02/2020,384,Cote d'Ivoire,Fully open,
16/02/2020,120,Cameroon,Fully open,
16/02/2020,180,Democratic Republic of the Congo,Fully open,
16/02/2020,178,Congo,Fully open,
16/02/2020,184,Cook Islands,Fully open,
16/02/2020,170,Colombia,Fully open,
16/02/2020,174,Comoros,Fully open,
16/02/2020,132,Cabo Verde,Fully open,
16/02/2020,188,Costa Rica,Fully open,
16/02/2020,192,Cuba,Fully open,
16/02/2020,531,Curaçao,Fully open,
16/02/2020,136,Cayman Islands,Fully open,
16/02/2020,196,Cyprus,Fully open,
16/02/2020,203,Czechia,Fully open,
16/02/2020,276,Germany,Fully open,
16/02/2020,262,Djibouti,Fully open,
16/02/2020,212,Dominica,Fully open,
16/02/2020,208,Denmark,Fully open,
16/02/2020,214,Dominican Republic,Fully open,
16/02/2020,012,Algeria,Fully open,
16/02/2020,218,Ecuador,Fully open,
16/02/2020,818,Egypt,Fully open,
16/02/2020,232,Eritrea,Fully open,
16/02/2020,724,Spain,Fully open,
16/02/2020,233,Estonia,Fully open,
